,6zsl_A_fpocket,6zsl_B_fpocket,6zsl_A_p2rank,6zsl_B_p2rank,IoU
3429,11,21,5,6,0.01053
1284,4,4,1,3,0.01053
6227,27,14,12,13,0.01053
81,1,5,1,14,0.01053
4371,16,27,1,2,0.01047
5687,24,18,1,9,0.01047
4515,17,23,1,9,0.01047
4206,15,25,6,3,0.01047
6772,34,4,1,4,0.01047
3566,12,24,9,11,0.01047
1893,5,38,3,3,0.01047
6547,29,25,12,13,0.01047
1894,5,38,3,12,0.01047
5684,24,18,1,2,0.01047
2971,9,23,10,10,0.01047
3810,13,27,12,13,0.01047
4895,19,21,3,3,0.01047
4838,19,10,4,5,0.01047
5903,25,29,9,11,0.010414
4172,15,18,1,2,0.010414
2017,6,9,10,10,0.010414
3590,12,32,7,13,0.010414
2400,7,29,7,8,0.010414
6392,28,28,3,3,0.010414
3591,12,32,12,8,0.010414
2009,6,9,1,9,0.010414
2837,8,35,1,4,0.010414
6228,27,15,3,3,0.01036
3670,13,7,7,8,0.01036
3412,11,13,7,8,0.01036
2827,8,34,1,3,0.01036
6528,29,21,1,9,0.01036
3809,13,27,9,11,0.01036
2838,8,35,3,3,0.01036
4922,19,24,9,11,0.01036
2332,7,15,3,12,0.01036
2968,9,23,1,4,0.01036
5438,23,13,8,5,0.01036
3982,14,18,1,2,0.01036
5857,25,16,3,3,0.01036
6201,27,9,1,2,0.01031
4928,19,25,9,11,0.01031
1440,4,22,4,5,0.01031
873,3,3,3,7,0.01031
5467,23,21,5,6,0.01031
3797,13,25,12,13,0.01031
3531,12,12,12,7,0.01031
6596,30,25,10,10,0.01031
6574,29,29,13,14,0.01031
5868,25,19,9,11,0.01031
6016,26,14,12,13,0.01031
90,1,5,9,11,0.01031
295,1,23,3,3,0.01031
1419,4,19,4,5,0.01031
3383,11,9,10,10,0.01031
1422,4,19,13,9,0.01031
2014,6,9,6,3,0.01031
1603,5,5,4,5,0.01031
3972,14,15,9,11,0.01031
2052,6,14,3,2,0.010254
5627,24,9,9,11,0.010254
3992,14,19,9,11,0.010254
4298,16,10,1,2,0.010254
2920,9,10,13,9,0.0102
4307,16,10,9,11,0.0102
4854,19,14,9,11,0.0102
439,2,2,3,12,0.0102
1592,5,5,1,3,0.0102
2308,7,12,5,6,0.0102
4045,14,27,12,13,0.0102
4835,19,10,3,3,0.0102
3668,13,7,6,7,0.0102
2916,9,10,1,9,0.0102
2312,7,12,12,13,0.0102
438,2,2,3,7,0.0102
2037,6,12,9,11,0.0102
3800,13,26,5,6,0.0102
2404,7,31,3,3,0.0102
2039,6,12,12,13,0.0102
5085,21,18,1,9,0.0102
5073,21,16,3,3,0.0102
5082,21,18,1,2,0.0102
292,1,23,1,9,0.01017
1242,4,1,1,14,0.01017
5701,24,21,1,2,0.010155
4786,19,4,13,9,0.010155
4695,18,21,1,9,0.010155
1598,5,5,3,2,0.010155
4692,18,21,1,2,0.010155
5095,21,19,3,3,0.010155
5704,24,21,1,9,0.010155
3905,14,6,3,2,0.010155
6202,27,9,1,4,0.010155
3750,13,15,9,11,0.010155
4304,16,10,3,12,0.0101
6775,34,4,3,3,0.0101
2049,6,14,1,3,0.0101
69,1,4,1,14,0.0101
4783,19,4,4,5,0.0101
4684,18,18,13,14,0.0101
4556,17,32,12,8,0.0101
4663,18,15,1,2,0.0101
6539,29,23,1,9,0.0101
5507,23,29,1,9,0.0101
5768,24,30,10,10,0.01005
1601,5,5,3,12,0.01005
882,3,3,6,13,0.01005
5863,25,18,1,2,0.01005
2067,6,15,9,11,0.01005
4200,15,25,1,2,0.01005
5051,21,11,5,6,0.01005
2973,9,24,1,2,0.01005
3781,13,23,6,7,0.01005
2324,7,13,12,13,0.01005
5699,24,19,13,9,0.01005
2975,9,24,1,9,0.01005
5436,23,13,6,7,0.01005
4117,15,7,3,3,0.01005
3442,11,23,10,10,0.01
447,2,2,6,13,0.01
3902,14,6,1,3,0.01
6571,29,29,12,8,0.01
4149,15,13,9,11,0.01
3795,13,25,6,7,0.01
6928,34,35,1,2,0.01
1600,5,5,3,7,0.01
6477,29,10,13,9,0.01
6631,31,31,3,12,0.01
6006,26,13,12,13,0.01
5152,21,29,1,9,0.01
4860,19,16,3,3,0.01
4555,17,32,7,13,0.01
3505,12,6,6,13,0.00995
3504,12,6,6,7,0.00995
6001,26,13,5,6,0.00995
5432,23,13,1,2,0.00995
6476,29,10,1,9,0.00995
448,2,2,8,1,0.00995
3506,12,6,9,11,0.00995
5117,21,23,5,6,0.00995
3779,13,23,1,2,0.00995
4920,19,24,3,3,0.00995
2309,7,12,7,8,0.00995
6570,29,29,12,7,0.0099
6700,32,22,12,8,0.0099
5063,21,14,3,3,0.0099
885,3,3,9,11,0.0099
6569,29,29,7,13,0.0099
1506,4,35,1,2,0.0099
6230,27,16,1,2,0.0099
4926,19,25,3,3,0.0099
6699,32,22,7,13,0.0099
3261,10,23,3,2,0.0099
1507,4,35,1,4,0.0099
5033,21,9,1,9,0.0099
2697,8,17,7,8,0.00985
3262,10,23,3,3,0.00985
406,1,38,3,12,0.00985
441,2,2,4,5,0.00985
2974,9,24,1,4,0.00985
2343,7,18,3,3,0.00985
3258,10,23,1,3,0.00985
2696,8,17,7,6,0.00985
3438,11,23,1,2,0.00985
6987,35,28,3,3,0.0098
2080,6,17,9,11,0.0098
5302,22,32,12,8,0.0098
3266,10,23,5,6,0.0098
405,1,38,3,3,0.0098
5301,22,32,7,13,0.0098
4278,16,6,6,7,0.0098
814,2,38,3,12,0.0098
450,2,2,9,11,0.0098
2321,7,13,7,8,0.0098
4189,15,23,10,10,0.0098
1892,5,37,6,7,0.00976
3363,11,7,1,2,0.00976
4150,15,14,1,2,0.00976
1235,3,37,6,7,0.00976
5829,25,9,10,10,0.00976
1433,4,22,1,2,0.00976
4716,18,25,1,2,0.00971
6988,35,34,1,2,0.00971
5963,26,7,7,6,0.00971
5850,25,15,1,2,0.00971
4552,17,32,5,8,0.00971
4705,18,23,1,9,0.00971
1501,4,34,1,4,0.00971
6754,34,2,3,2,0.00971
4656,18,14,1,2,0.00971
6696,32,22,5,8,0.00971
3798,13,26,3,3,0.00971
6638,31,35,3,12,0.00971
6929,34,35,1,4,0.00971
3514,12,8,5,6,0.00971
3942,14,10,9,11,0.00971
2065,6,15,6,3,0.00971
7116,38,2,3,12,0.00971
3516,12,8,6,13,0.00971
3515,12,8,6,7,0.00971
2901,9,8,3,3,0.00966
3989,14,19,1,2,0.00966
3184,10,13,8,5,0.00966
813,2,38,3,3,0.00966
6762,34,3,1,4,0.00966
5618,24,9,1,2,0.00966
5021,21,7,5,6,0.00966
5849,25,14,12,13,0.00966
3990,14,19,1,4,0.00966
395,1,35,3,3,0.00966
6765,34,3,3,2,0.00966
4707,18,24,1,2,0.00966
4710,18,24,1,9,0.00966
5671,24,15,9,11,0.00966
6210,27,10,3,2,0.00966
5620,24,9,1,9,0.00966
2094,6,21,1,2,0.00966
7113,38,1,3,3,0.00961
6759,34,2,12,13,0.00961
5123,21,24,1,9,0.00961
5120,21,24,1,2,0.00961
6208,27,10,1,3,0.00961
2059,6,15,1,2,0.00961
10,1,1,3,12,0.00961
9,1,1,3,7,0.00961
4852,19,14,1,4,0.00961
7114,38,1,3,12,0.00961
4851,19,14,1,2,0.00961
2902,9,8,10,10,0.00961
2334,7,16,3,12,0.00961
3143,10,9,3,12,0.00961
5298,22,32,5,8,0.00961
4198,15,24,9,11,0.00961
5745,24,25,9,11,0.00961
1513,4,37,3,3,0.00961
3182,10,13,6,7,0.00961
15,1,1,6,13,0.00961
5762,24,29,1,9,0.00961
6464,29,8,6,13,0.00961
2738,8,22,7,8,0.00957
2640,8,12,6,13,0.00957
4442,17,8,7,6,0.00957
7115,38,2,3,3,0.00957
6779,34,5,1,4,0.00957
2737,8,22,7,6,0.00957
6595,30,24,10,10,0.00957
4443,17,8,7,8,0.00957
2800,8,28,9,11,0.00957
1402,4,18,1,2,0.00957
7119,38,5,3,3,0.00957
2639,8,12,6,7,0.00957
2355,7,21,5,6,0.00957
3789,13,24,9,11,0.00957
3681,13,8,6,13,0.00957
2162,6,31,10,10,0.00957
5411,23,9,13,9,0.00957
6219,27,13,12,13,0.00957
2638,8,12,5,6,0.00957
5210,22,8,7,6,0.00952
6770,34,3,12,13,0.00952
3211,10,16,3,12,0.00952
7120,38,5,3,12,0.00952
4115,15,6,9,11,0.00952
4114,15,6,6,7,0.00952
4270,16,6,1,2,0.00952
3416,11,14,5,6,0.00952
5211,22,8,7,8,0.00952
5309,22,33,12,8,0.00952
3967,14,15,1,2,0.009476
5697,24,19,3,3,0.009476
393,1,35,1,2,0.009476
1438,4,22,3,3,0.009476
3938,14,10,3,2,0.009476
7019,37,3,6,7,0.009476
5619,24,9,1,4,0.009476
1882,5,35,1,4,0.009476
5842,25,13,12,13,0.009476
6761,34,3,1,3,0.009476
2988,9,27,1,2,0.009476
1881,5,35,1,2,0.009476
4602,18,4,1,2,0.009476
4113,15,6,6,3,0.009476
394,1,35,1,4,0.009476
4281,16,7,3,12,0.009476
6897,34,28,9,11,0.00944
7025,37,4,3,3,0.00944
812,2,37,6,7,0.00944
3588,12,32,5,6,0.00944
5315,22,36,7,8,0.00944
6943,35,2,1,2,0.00944
6389,28,28,1,4,0.00944
6989,35,34,1,4,0.00944
6751,34,2,1,4,0.00944
4631,18,7,3,3,0.00944
5364,23,4,13,9,0.00944
5308,22,33,7,13,0.00944
6778,34,5,1,3,0.00944
2890,9,6,1,9,0.00944
3201,10,15,3,12,0.00944
3417,11,14,7,8,0.00939
6952,35,5,1,4,0.00939
3674,13,8,1,2,0.00939
6944,35,2,1,4,0.00939
6951,35,5,1,2,0.00939
5395,23,7,8,5,0.00939
5999,26,13,3,3,0.00939
3700,13,10,6,7,0.00939
1798,5,22,4,5,0.00939
3927,14,9,1,4,0.00939
1504,4,34,3,3,0.00939
4133,15,10,1,2,0.00939
6542,29,24,1,9,0.00939
7118,38,3,3,12,0.00939
6782,34,5,3,2,0.00939
6258,27,24,9,11,0.00939
2729,8,22,1,2,0.009346
2079,6,17,1,9,0.009346
2989,9,27,1,4,0.009346
2093,6,19,9,11,0.009346
6750,34,2,1,3,0.009346
2725,8,21,9,11,0.009346
2723,8,21,5,6,0.009346
7010,37,2,6,7,0.009346
1409,4,18,3,3,0.009346
2605,8,9,6,3,0.009346
3934,14,10,1,3,0.009346
6337,28,8,9,11,0.009346
6637,31,35,3,3,0.009346
7117,38,3,3,3,0.009346
4352,16,23,1,2,0.009346
3693,13,10,1,2,0.009346
5632,24,10,1,4,0.0093
6946,35,3,1,2,0.0093
2092,6,19,3,3,0.0093
1774,5,19,4,5,0.0093
7034,37,5,6,7,0.0093
2893,9,6,10,10,0.0093
3144,10,9,6,3,0.0093
1777,5,19,13,9,0.0093
6947,35,3,1,4,0.0093
2926,9,14,1,4,0.0093
4108,15,6,1,2,0.00926
2554,8,6,9,11,0.00926
5049,21,10,9,11,0.00926
6871,34,22,7,13,0.00926
7152,38,31,3,12,0.00926
2749,8,23,6,7,0.00926
4890,19,19,13,14,0.00926
6941,35,1,1,4,0.00926
6565,29,29,5,6,0.00926
3203,10,15,6,7,0.00926
3702,13,11,1,2,0.00926
6940,35,1,1,2,0.00926
3205,10,16,1,2,0.00926
2143,6,27,3,2,0.00922
2102,6,22,1,2,0.00922
3070,10,4,4,5,0.00922
4609,18,4,3,3,0.00922
5756,24,27,9,11,0.00922
2548,8,6,3,7,0.00922
4140,15,10,6,7,0.00922
6737,34,1,1,3,0.00922
6738,34,1,1,4,0.00922
6741,34,1,3,2,0.00922
2808,8,29,6,13,0.00922
3380,11,8,7,6,0.00922
3381,11,8,7,8,0.00922
3374,11,8,1,2,0.00917
1357,4,10,1,9,0.00917
6390,28,28,1,9,0.00917
4888,19,19,12,13,0.00917
4428,17,6,9,11,0.00917
6872,34,22,12,8,0.00917
1795,5,22,3,3,0.00917
3113,10,7,3,12,0.00917
1368,4,10,13,9,0.00917
5881,25,24,3,3,0.00917
2701,8,18,1,2,0.00917
3235,10,21,1,2,0.00917
5041,21,10,1,2,0.00917
3663,13,7,1,2,0.00917
2751,8,23,13,9,0.00917
2722,8,21,3,3,0.00917
3173,10,13,1,2,0.00917
1363,4,10,4,5,0.00913
6177,27,6,3,2,0.00913
5027,21,8,9,11,0.00913
3382,11,8,10,10,0.00913
5408,23,9,1,4,0.00913
3202,10,15,6,3,0.00913
5026,21,8,5,6,0.00913
2149,6,27,12,13,0.00913
2069,6,16,1,2,0.00913
1873,5,33,5,6,0.00913
2608,8,9,10,10,0.009094
1696,5,10,13,9,0.009094
5305,22,33,5,8,0.009094
2553,8,6,6,13,0.009094
3068,10,4,3,3,0.009094
3063,10,4,1,3,0.009094
1219,3,34,3,2,0.009094
6716,32,31,7,8,0.009094
2388,7,26,7,6,0.009094
2544,8,6,1,9,0.009094
1679,5,10,1,9,0.009094
2141,6,27,1,3,0.009094
1216,3,34,1,4,0.009094
6183,27,6,12,13,0.009094
5654,24,13,9,11,0.009094
2720,8,21,1,9,0.009094
2652,8,13,6,13,0.00905
1355,4,10,1,3,0.00905
2157,6,29,12,13,0.00905
3407,11,13,1,2,0.00905
3067,10,4,3,2,0.00905
4123,15,8,6,7,0.00905
5427,23,11,1,2,0.00905
1687,5,10,4,5,0.00905
3196,10,15,1,2,0.00905
5405,23,8,6,7,0.00905
1877,5,34,1,4,0.00905
3303,10,27,3,2,0.00901
6673,32,12,7,13,0.00901
802,2,35,3,3,0.00901
6175,27,6,1,3,0.00901
5190,22,5,4,5,0.00901
2032,6,10,9,11,0.00901
4480,17,17,1,14,0.00901
2923,9,13,3,3,0.00901
6633,31,32,7,8,0.00901
1360,4,10,3,2,0.00901
1361,4,10,3,3,0.00901
4805,19,6,9,11,0.00901
1771,5,19,3,3,0.00901
5389,23,7,1,2,0.00901
4023,14,25,1,2,0.00901
5012,21,6,1,2,0.00901
4139,15,10,6,3,0.00901
6674,32,12,12,8,0.00901
6449,29,6,6,13,0.00901
5112,21,21,13,14,0.00901
4804,19,6,3,3,0.00897
5406,23,8,13,9,0.00897
1223,3,34,12,13,0.00897
2750,8,23,10,10,0.00897
2745,8,23,3,2,0.00897
6648,32,3,5,6,0.00897
2668,8,14,6,13,0.00897
800,2,35,1,2,0.00897
2670,8,14,9,11,0.00897
2636,8,11,7,8,0.00897
2665,8,14,5,6,0.00897
2284,7,9,3,12,0.00897
2635,8,11,7,6,0.00897
4290,16,8,6,7,0.00897
794,2,34,3,2,0.00897
5843,25,14,1,2,0.00893
6587,29,34,7,13,0.00893
3188,10,14,1,4,0.00893
801,2,35,1,4,0.00893
1685,5,10,3,12,0.00893
3659,13,6,6,13,0.00893
2637,8,11,10,10,0.00893
2629,8,11,1,2,0.00893
7151,38,31,3,3,0.00893
3602,12,34,12,8,0.00893
3655,13,6,3,3,0.00893
1682,5,10,3,2,0.00893
6588,29,34,12,8,0.00893
4122,15,8,6,3,0.00893
2003,6,8,9,11,0.00893
1215,3,34,1,3,0.00893
1794,5,22,2,1,0.00893
2679,8,15,6,7,0.00893
1770,5,19,2,1,0.00893
1676,5,10,1,3,0.00893
3190,10,14,3,2,0.00893
6402,28,35,3,3,0.00893
4427,17,6,1,9,0.00889
5394,23,7,6,7,0.00889
5449,23,16,1,2,0.00889
1997,6,8,3,7,0.00889
799,2,34,12,13,0.00889
2645,8,13,1,2,0.00889
3384,11,10,1,2,0.00889
5024,21,8,1,9,0.00889
4563,17,33,12,8,0.00885
6856,34,17,12,8,0.00885
2568,8,7,6,7,0.00885
2678,8,15,6,3,0.00885
6577,29,32,7,13,0.00885
6854,34,17,7,13,0.00885
1224,3,35,1,2,0.00885
3600,12,34,7,13,0.00885
5645,24,11,10,10,0.00885
1225,3,35,1,4,0.00885
3109,10,7,1,2,0.00885
7142,38,22,3,12,0.00885
4632,18,8,1,2,0.00885
2741,8,23,1,3,0.00885
6647,32,2,5,6,0.00885
4291,16,8,9,11,0.00885
6578,29,32,12,8,0.00885
5312,22,34,7,13,0.00885
2289,7,10,3,12,0.00885
5877,25,23,10,10,0.00881
2027,6,10,3,7,0.00881
3301,10,27,1,3,0.00881
4821,19,8,13,9,0.00881
1684,5,10,3,7,0.00881
5401,23,8,3,2,0.00877
1695,5,10,9,11,0.00877
6582,29,33,7,13,0.00877
6583,29,33,12,8,0.00877
3187,10,14,1,3,0.00877
5313,22,34,12,8,0.00877
3601,12,34,9,11,0.00877
6254,27,23,3,2,0.00877
2330,7,14,12,13,0.00877
2326,7,14,5,6,0.00877
3290,10,25,6,3,0.00877
1457,4,23,13,9,0.00877
5110,21,21,10,10,0.00877
4282,16,8,1,2,0.00877
2620,8,10,3,7,0.008736
2628,8,10,13,9,0.008736
5188,22,5,2,1,0.008736
3087,10,5,4,5,0.008736
2705,8,18,2,1,0.008736
1993,6,8,1,9,0.008736
3923,14,8,9,11,0.008736
791,2,34,1,4,0.008736
3273,10,24,1,4,0.008736
2716,8,19,13,9,0.008736
2112,6,23,3,2,0.008736
2615,8,10,1,9,0.008736
2376,7,23,8,5,0.0087
404,1,37,6,7,0.0087
3284,10,25,1,2,0.0087
5897,25,26,3,3,0.0087
6252,27,23,1,3,0.0087
5830,25,10,1,2,0.0087
4562,17,33,7,13,0.0087
3085,10,5,3,12,0.00866
790,2,34,1,3,0.00866
5397,23,8,1,3,0.00866
971,3,8,3,7,0.00866
2559,8,7,1,2,0.00866
1105,3,19,13,9,0.00866
2570,8,7,7,8,0.00862
2114,6,23,10,10,0.00862
1584,5,4,4,5,0.00862
4775,19,3,13,9,0.00862
5358,23,4,3,3,0.00862
2108,6,23,1,3,0.00862
6831,34,12,12,8,0.00862
6634,31,33,7,8,0.00862
2569,8,7,7,6,0.00862
6646,32,1,12,13,0.00862
6585,29,34,6,13,0.00862
6979,35,22,3,3,0.00862
3129,10,8,3,7,0.00858
3924,14,8,12,13,0.00858
7001,37,1,6,7,0.00858
1004,3,10,3,7,0.00858
5503,23,27,3,2,0.00858
6713,32,29,7,13,0.008545
1672,5,9,9,11,0.008545
6636,31,34,3,12,0.008545
6829,34,12,7,13,0.008545
1016,3,10,13,9,0.008545
2327,7,14,7,8,0.008545
7141,38,22,3,3,0.008545
6714,32,29,12,8,0.008545
1669,5,9,3,12,0.008545
2131,6,25,6,3,0.008545
999,3,10,1,9,0.008545
3084,10,5,3,7,0.008545
2627,8,10,9,11,0.008514
385,1,34,3,2,0.008514
383,1,34,1,4,0.008514
382,1,34,1,3,0.008514
2493,8,3,3,7,0.008514
847,3,2,3,7,0.008514
2035,6,11,10,10,0.008514
1212,3,32,5,6,0.008514
5501,23,27,1,3,0.008514
1198,3,28,9,11,0.008514
6868,34,22,2,1,0.00848
3168,10,11,1,2,0.00848
3103,10,6,3,7,0.00848
3598,12,34,6,13,0.00848
977,3,8,6,13,0.00848
4796,19,5,4,5,0.00848
4799,19,5,13,9,0.00848
2126,6,25,1,2,0.00848
4559,17,33,5,8,0.00848
5972,26,8,7,6,0.00848
5973,26,8,7,8,0.00848
6830,34,12,9,11,0.00848
2047,6,13,12,13,0.00844
2041,6,13,3,3,0.00844
2110,6,23,1,9,0.00844
6855,34,17,9,11,0.0084
3049,10,3,3,7,0.0084
2690,8,16,6,7,0.0084
3050,10,3,3,12,0.0084
600,2,10,8,1,0.0084
592,2,10,3,12,0.0084
591,2,10,3,7,0.0084
1120,3,22,1,2,0.0084
897,3,4,3,2,0.0084
4793,19,5,3,3,0.0084
594,2,10,4,5,0.00837
978,3,8,9,11,0.00837
1310,4,5,4,5,0.00837
465,2,3,3,12,0.00837
1670,5,9,6,3,0.00837
1754,5,18,1,2,0.00837
856,3,2,6,13,0.00837
464,2,3,3,7,0.00837
2125,6,24,10,10,0.00837
3029,10,2,3,12,0.00833
6194,27,8,3,2,0.00833
1273,4,3,3,2,0.00833
6429,29,3,6,13,0.00833
2500,8,3,6,13,0.00833
3028,10,2,3,7,0.00833
4760,19,2,8,1,0.00833
6132,27,1,12,13,0.00833
4882,19,19,3,12,0.00833
5969,26,8,3,3,0.00833
6869,34,22,3,3,0.00833
3555,12,17,12,8,0.00833
3037,10,2,8,1,0.00833
4570,17,36,7,8,0.00833
684,2,19,8,1,0.00833
3553,12,17,7,13,0.00833
5107,21,21,3,12,0.00833
5254,22,17,13,9,0.00833
3031,10,2,4,5,0.0083
149,1,9,3,12,0.0083
1717,5,13,8,5,0.0083
3362,11,6,10,10,0.0083
2691,8,16,9,11,0.0083
2282,7,8,7,8,0.0083
1015,3,10,9,11,0.0083
5387,23,6,6,7,0.0083
2281,7,8,7,6,0.0083
6190,27,8,1,3,0.0083
683,2,19,4,5,0.0083
5379,23,5,13,9,0.0083
5172,22,2,8,1,0.00826
4568,17,34,12,8,0.00826
6315,28,3,9,11,0.00826
6562,29,29,1,2,0.00826
150,1,9,6,3,0.00826
6671,32,12,5,6,0.00826
1301,4,5,1,3,0.00826
2779,8,26,7,6,0.00826
2780,8,26,7,8,0.00826
3393,11,11,5,8,0.00826
4566,17,34,7,13,0.00826
2913,9,9,13,14,0.00826
4761,19,2,8,5,0.00826
4759,19,2,4,5,0.00826
891,3,4,1,3,0.00826
3485,12,1,6,13,0.00823
5170,22,2,4,5,0.00823
3484,12,1,6,7,0.00823
3866,14,2,9,11,0.00823
1787,5,21,5,6,0.00823
209,1,14,6,13,0.00823
2682,8,16,1,2,0.00823
1652,5,8,3,7,0.00823
5385,23,6,3,2,0.00823
473,2,3,6,13,0.00823
5819,25,6,12,13,0.00823
1307,4,5,3,2,0.00823
2501,8,3,9,11,0.00823
3861,14,2,3,2,0.00823
859,3,2,9,11,0.00823
6300,27,38,3,12,0.008194
1267,4,3,1,3,0.008194
6299,27,38,3,3,0.008194
3470,11,33,5,8,0.008194
3497,12,3,6,7,0.008194
3498,12,3,6,13,0.008194
6827,34,12,6,13,0.008194
5366,23,5,1,3,0.008194
4231,16,1,3,12,0.008194
5811,25,6,1,2,0.008194
4161,15,15,3,12,0.008194
4233,16,1,6,7,0.008194
6131,27,1,9,11,0.00816
5370,23,5,3,2,0.00816
6408,29,1,6,13,0.00816
6122,27,1,1,3,0.00816
6126,27,1,3,2,0.00816
1815,5,23,13,9,0.00816
1077,3,17,5,6,0.00816
4412,17,3,5,6,0.00816
1378,4,13,8,5,0.00813
3005,9,38,3,12,0.00813
4682,18,18,6,3,0.00813
4678,18,18,1,14,0.00813
375,1,32,12,13,0.00813
786,2,32,5,6,0.00813
602,2,10,9,11,0.00813
2227,7,4,3,3,0.00813
5381,23,6,1,3,0.00813
3493,12,2,6,13,0.00813
3492,12,2,6,7,0.00813
6564,29,29,1,14,0.00813
708,2,22,8,1,0.00813
3879,14,3,9,11,0.00813
2118,6,24,1,4,0.00813
6575,29,32,5,6,0.00813
3867,14,2,12,13,0.00813
3874,14,3,3,2,0.00813
1328,4,7,3,3,0.008095
1052,3,14,9,11,0.008095
706,2,22,4,5,0.008095
1869,5,31,3,3,0.008095
476,2,3,9,11,0.008095
1051,3,14,6,13,0.008095
635,2,14,3,2,0.008095
204,1,14,3,2,0.008095
641,2,14,9,11,0.008095
640,2,14,6,13,0.008095
3870,14,3,1,3,0.008064
698,2,22,1,2,0.008064
2471,8,2,3,7,0.008064
3732,13,13,12,7,0.008064
6977,35,22,1,2,0.008064
6401,28,34,9,11,0.008064
6084,26,26,7,13,0.008064
2788,8,27,3,2,0.008064
200,1,14,1,3,0.008064
1046,3,14,3,2,0.008064
2202,7,2,3,12,0.008064
1451,4,23,3,3,0.008064
4994,21,4,1,9,0.00803
6165,27,5,1,3,0.00803
4991,21,4,1,2,0.00803
540,2,7,3,12,0.00803
3847,14,1,3,2,0.00803
3857,14,2,1,3,0.00803
101,1,6,3,7,0.00803
1660,5,8,9,11,0.00803
545,2,7,6,7,0.00803
3630,13,3,1,2,0.00803
3843,14,1,1,3,0.00803
2784,8,27,1,3,0.00803
106,1,6,6,13,0.00803
3626,13,2,6,13,0.00803
4225,16,1,1,2,0.00803
4255,16,4,1,2,0.00803
5345,23,3,3,2,0.00803
5349,23,3,6,7,0.00803
1042,3,14,1,3,0.008
1634,5,7,3,12,0.008
3638,13,3,6,13,0.008
4957,19,38,3,12,0.008
3880,14,3,12,13,0.008
1779,5,21,1,2,0.008
5351,23,3,13,9,0.008
210,1,14,7,8,0.008
1782,5,21,1,9,0.008
6086,26,26,12,8,0.008
5350,23,3,8,5,0.008
5252,22,17,12,8,0.008
6169,27,5,3,2,0.008
6904,34,31,3,12,0.008
2529,8,5,3,7,0.008
1027,3,13,1,2,0.007965
1424,4,21,1,2,0.007965
1206,3,29,6,13,0.007965
917,3,5,3,7,0.007965
1427,4,21,1,9,0.007965
1903,6,1,3,7,0.007965
1910,6,1,12,13,0.007965
5383,23,6,1,9,0.007965
5600,24,6,10,10,0.007965
1728,5,14,6,7,0.007965
4676,18,18,1,4,0.007935
2478,8,2,6,13,0.007935
1559,5,3,3,2,0.007935
3618,13,2,1,2,0.007935
3733,13,13,12,8,0.007935
4680,18,18,3,2,0.007935
6409,29,1,7,8,0.007935
4223,15,38,3,3,0.007935
948,3,7,1,2,0.007935
1553,5,3,1,3,0.007935
1036,3,13,6,13,0.007935
5251,22,17,7,13,0.007935
1561,5,3,3,7,0.007935
6580,29,33,5,6,0.007935
775,2,28,9,11,0.007935
958,3,7,6,7,0.007935
4224,15,38,3,12,0.007935
1117,3,21,9,11,0.007904
4241,16,2,3,12,0.007904
347,1,27,12,13,0.007904
5341,23,3,1,3,0.007904
535,2,7,1,2,0.007904
1107,3,21,1,2,0.007904
5348,23,3,5,6,0.007904
6173,27,5,9,11,0.007904
2770,8,25,6,7,0.007904
631,2,14,1,3,0.007904
559,2,8,3,7,0.007904
5569,24,4,1,4,0.007904
5570,24,4,1,9,0.007904
1562,5,3,3,12,0.007904
624,2,13,6,13,0.007904
4243,16,2,6,7,0.007904
4260,16,5,1,2,0.007904
3730,13,13,7,13,0.00787
3391,11,11,5,5,0.00787
6711,32,29,5,6,0.00787
2209,7,2,8,5,0.00787
6900,34,29,7,13,0.00787
2216,7,3,3,12,0.00787
3728,13,13,7,6,0.00787
4253,16,3,6,7,0.00787
4567,17,34,9,11,0.00787
3644,13,5,1,2,0.00787
4251,16,3,3,12,0.00787
3400,11,11,12,13,0.00787
4245,16,3,1,2,0.00787
4750,19,1,13,9,0.00787
3825,13,32,12,8,0.00787
6310,28,2,9,11,0.00787
5593,24,6,1,4,0.00787
3004,9,38,3,3,0.00787
6901,34,29,12,8,0.00787
1110,3,21,1,9,0.00787
6970,35,18,1,2,0.00787
547,2,7,8,5,0.00784
6420,29,2,6,13,0.00784
1856,5,27,9,11,0.00784
1746,5,16,6,7,0.00784
97,1,6,1,9,0.00784
5336,23,2,6,7,0.00784
5330,23,2,3,2,0.00784
5609,24,8,3,3,0.00784
2769,8,25,6,3,0.00784
3961,14,14,6,7,0.007812
6978,35,22,1,4,0.007812
3822,13,32,7,6,0.007812
4956,19,38,3,3,0.007812
4244,16,2,9,11,0.007812
3891,14,5,1,3,0.007812
288,1,22,12,13,0.007812
2479,8,2,9,11,0.007812
3963,14,14,7,8,0.007812
2537,8,5,9,11,0.007812
1744,5,16,3,12,0.007812
3962,14,14,6,13,0.007812
3474,11,33,12,8,0.007812
6120,26,38,3,12,0.007812
614,2,13,1,2,0.007812
2239,7,5,3,12,0.007812
4266,16,5,3,12,0.007812
6085,26,26,10,10,0.007812
1852,5,27,3,3,0.007812
3824,13,32,7,13,0.007812
4268,16,5,6,7,0.007782
990,3,9,6,3,0.007782
5607,24,8,1,9,0.007782
4235,16,2,1,2,0.007782
566,2,8,6,13,0.007782
4254,16,3,9,11,0.007782
2756,8,24,3,3,0.007782
3895,14,5,3,2,0.007782
5606,24,8,1,4,0.007782
337,1,27,1,3,0.00775
